selection,Scenario name,veh_year,veh_pt_type,drag_coef,frontal_area_m2,glider_kg,veh_cg_m,drive_axle_weight_frac,wheel_base_m,cargo_kg,veh_override_kg,fs_max_kw,fs_secs_to_peak_pwr,fs_kwh,fs_kwh_per_kg,fc_max_kw,fc_eff_map,fc_eff_type,fc_sec_to_peak_pwr,fc_base_kg,fc_kw_per_kg,mc_pwr_out_perc,mc_max_kw,mc_sec_to_peak_pwr,stop_start,mc_pe_kg_per_kw,mc_pe_base_kg,ess_max_kw,ess_max_kwh,ess_kg_per_kwh,ess_base_kg,ess_round_trip_eff,ess_life_coef_a,ess_life_coef_b,wheel_inertia_kg_m2,num_wheels,wheel_rr_coef,wheel_radius_m,wheel_coef_of_fric,min_soc,max_soc,ess_dischg_to_fc_max_eff_perc,ess_chg_to_fc_max_eff_perc,max_accel_buffer_mph,max_accel_buffer_perc_of_useable_soc,perc_high_acc_buf,mph_fc_on,kw_demand_fc_on,alt_eff,chg_eff,aux_kw,force_aux_on_fc,trans_kg,trans_eff,comp_mass_multiplier,ess_to_fuel_ok_error,max_regen,val_udds_mpgge,val_hwy_mpgge,val_comb_mpgge,val_udds_kwh_per_mile,val_hwy_kwh_per_mile,val_comb_kwh_per_mile,val_cd_range_mi,val_const65_mph_kwh_per_mile,val_const60_mph_kwh_per_mile,val_const55_mph_kwh_per_mile,val_const45_mph_kwh_per_mile,val_unadj_udds_kwh_per_mile,val_unadj_hwy_kwh_per_mile,val0_to60_mph,val_ess_life_miles,val_range_miles,val_veh_base_cost,val_msrp,min_fc_time_on,idle_fc_kw,mc_eff_map
37,2020 Chevrolet Colorado 2WD Diesel,2020,Conv,0.4,2.88,1250,0.53,0.61,3.26,136.8,2325,2000,1,700,11.83,135,"[0.08, 0.10, 0.14, 0.20, 0.24, 0.32, 0.40, 0.42, 0.41, 0.38, 0.36, 0.34]",Diesel,6,61,2.13,,0,4,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,2.38,4,0.009,0.4064,0.7,0.25,0.95,1,0,60,0.2,0,85,70,1,0.86,1.5,FALSE,114,0.92,1.4,0.005,0.98,20,30,23,,,,,,,,,,,,,,,,30,1.96,
38,2020 Hero Splendor+ 100cc,,Conv,0.78,0.68,0,0.53,0.61,1.236,0,172,1000,1,88.2,0,5.8987,"[0.05422978, 0.05766632, 0.06445793, 0.08096171, 0.09367591, 0.11780081, 0.14018769, 0.17050922, 0.24333819, 0.27271668, 0.25864471, 0.20112227]",SI,6,0,0,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0,0,0,0,0,0,0,0,0,0.6,2,0.01,0.3086,0.8,0,1,0,0,60,0.2,0,55,100,1,0.86,0,FALSE,0,0.92,1.4,0.005,0.98,,,,,,,,,,,,,,9.9,,,,,30,0,
39,Maruti Swift 4cyl 2WD,2023,Conv,0.3,2.12,647.51,0.44,0.7,2.45,136,950,2000,1,441.8,9.89,65,"[0.10, 0.10, 0.12, 0.15, 0.24, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,4,FALSE,0.833,21.6,0,0,8,75.8,0.97,110.8,-0.6811,0.815,4,0.0061,0.304,0.7,0.1,0.95,0,0,60,0.2,0,55,100,1,0.86,0.5,FALSE,114,0.92,1.4,0.005,0.98,27,36,31,,,,,,,,,,,9.9,,,,,30,1.96,
40,2017 Maruti Dzire VDI,2017,Conv,0.375,2.1347,0,0.53,0.61,2.45,0,972.5,2000,1.1,370.4078843,0,55.196704,,Diesel,6.1,0,0,,0,4.8,FALSE,0,0,0,0,0,0,1,110.8,-0.6811,0.815,4,0.0101,0.3098,0.8,0,1,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.95,FALSE,0,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,13.03,,,,,30.3,0,
41,2022 Toyota Avanza E/J MT,2022,Conv,0.349147209,2.23086,0,0.53,0.61,2.75,0,1190,2000,1.1,379.858224,0,72.0789,,SI,6.1,0,0,,0,4.8,FALSE,0,0,0,0,0,0,1,110.8,-0.6811,0.815,4,0.0101,0.31075,0.8,0,1,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,1.3,FALSE,0,0.9,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30.3,0,
42,2023 Mitsubishi Pajero Sport,2023,Conv,0.4,2.83094625,0,0.53,0.61,2.8,0,2080,2000,1.1,680.749625,0,133,,Diesel,6.1,0,0,,0,4.8,FALSE,0,0,0,0,0,0,1,110.8,-0.6811,0.815,4,0.0101,0.3876,0.8,0,1,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,1.5,FALSE,0,0.9,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30.3,0,
43,2022 Tesla Model 3 RWD,2022,BEV,0.23,2.22,628.8332729551923,-0.53,0.59,2.87528,136,1752,0,1,0,9.89,0,"[0.1, 0.12, 0.28, 0.35, 0.38, 0.39, 0.4, 0.4, 0.38, 0.37, 0.36, 0.35]",SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",239,4,FALSE,0.833,21.6,201.2274239,54,8,75,0.97,110,-0.6811,0.815,4,0.007,0.33435,0.7,0.05,0.98,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,30,0,
44,2022 Tesla Model Y RWD,2022,BEV,0.23,2.45,628.8332729551923,-0.53,0.59,2.89,136,1909,0,1,0,9.89,0,"[0.1, 0.12, 0.28, 0.35, 0.38, 0.39, 0.4, 0.4, 0.38, 0.37, 0.36, 0.35]",SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",255,4,FALSE,0.833,21.6,219.2361039,62,8,75,0.97,110,-0.6811,0.815,4,0.006,0.36295,0.7,0.05,0.98,0,0,60,0.2,0,1,100,1,0.86,0.2,FALSE,114,0.98,1.4,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.94, 0.95, 0.95, 0.94, 0.93]"
45,2021 Fiat Panda Mild Hybrid,2021,Conv,0.4,2.1,1225.594,0.53,0.59,2.3,136,1200,2000,1,451,9.89,51,"[0.08, 0.10, 0.26, 0.33, 0.355, 0.33, 0.33, 0.33, 0.35, 0.34, 0.32, 0.30]",SI,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,TRUE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.3175,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,1.5,
46,2021 Peugot 3008,2021,Conv,0.33,2.8,1225.594,0.53,0.59,2.3,136,1700,2000,1,451,9.89,96,"[0.13, 0.17, 0.23, 0.28, 0.32, 0.37, 0.4, 0.4, 0.36, 0.34, 0.32, 0.3]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,TRUE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.35,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.7,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,1.96,
47,Renault Megane 1.5 dCi Authentique,2020,Conv,0.35,2.3,1225.594,0.53,0.59,2.3,136,1550,2000,1,451,9.89,86,,Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,TRUE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.35,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.8,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,1.96,
48,Renault Clio IV diesel,2020,Conv,0.33,2,1225.594,0.53,0.59,2.3,136,1150,2000,1,451,9.89,66,,Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,TRUE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.007,0.35,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.7,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,1.96,
49,Nissan Navara,2016,Conv,0.39,3.2,1225.594,0.53,0.59,2.3,136,2200,2000,1,451,9.89,119,,Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.0085,0.35,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.8,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,2.8,
50,Toyota Hilux Double Cab 4WD,2021,Conv,0.4,2.86,1225.594,0.53,0.59,2.3,136,2600,2000,1,451,9.89,110,"[0.08, 0.12, 0.17, 0.22, 0.27, 0.33, 0.35, 0.36, 0.35, 0.32, 0.31, 0.29]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.35,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.9,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,2.8,
51,2022 Volvo XC40 Recharge twin,2022,BEV,0.381485332292538,2.56,574.130656,0.53,0.61,2.702,136,2267.962,0,1.1,0,0,0,,SI,6.1,0,0,,299.7718155,4.8,FALSE,0.833,21.6,10000,78,8.9,75,0.97,110.8,-0.6811,0.815,4,0.007595813171475489,0.357425,0.8,0.02,0.98153846153,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,0,
52,2022 Ford F-150 Lightning 4WD,2022,BEV,0.44,3.435086194,1009.648743,-0.53,0.59,2.6,136,2728.358,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",317.6686403,4,FALSE,0.833,21.6,333.5520723,98,8,75,0.97,110,-0.6811,0.815,4,0.0065,0.4169,0.7,0.05,0.98,0,0,60,0.2,0,1,100,1,0.86,0.20,FALSE,114,0.98,1.4,0.005,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.9400000000000001, 0.95, 0.95, 0.9400000000000001, 0.93]"
53,Toyota Etios Liva diesel,2020,Conv,0.3,2.3,1225.594,0.53,0.59,2.3,136,1100,2000,1,451,9.89,50,"[0.08, 0.12, 0.17, 0.22, 0.27, 0.33, 0.35, 0.36, 0.35, 0.32, 0.31, 0.29]",Diesel,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",0,1,FALSE,0.833,21.6,0,0,8,75,0.97,110,-0.6811,0.815,4,0.01,0.316,0.7,0.2,0.8,0,0,60,0.2,0,62,60,1,0.86,0.7,FALSE,114,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,1.96,
54,BYD ATTO 3,2023,BEV,0.29,2.58,1502,0.53,0.61,2.588,136.8,1950,0,1.1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",SI,6.1,61.3,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]",150,4.8,FALSE,0.833,21.6,1000,62,8.9,326,0.97,110.8,-0.6811,0.815,4,0.006,0.310388,0.8,0.029,0.98,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30.3,1.96,
55,Toyota Corolla Cross Hybrid,2022,HEV,0.33,2.7,1650,0.53,0.61,2.56,136,1750,2000,1.1,325.62,12.06,126,,Atkinson,6.1,61.3,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08, 0.10, 0.20, 0.40, 0.60, 0.80, 1.00]",20,4.8,FALSE,0.833,21.6,1000,4.1,8.9,75.8,0.97,110.8,-0.6811,0.815,4,0.01,0.311,0.7,0.4,0.8,0.3,0.3,60.3,0.2,0.8,55.8,100.8,0.9,0.86,0.5,FALSE,114.9,0.97,1.4,0.005,0.98,,,,,,,,,,,,,,9.7,,,,,30.3,3.75,"[0.83, 0.85, 0.87, 0.89, 0.90, 0.91, 0.93, 0.94, 0.94, 0.93, 0.92]"
56,2022 MINI Cooper SE Hardtop 2 door,2022,BEV,0.3261816574680473,2.4,1359.166,0.45,0.59,2.495,136.0,1587.573,0,1,0,9.89,0,,SI,6,61,2.13,"[0.0, 0.02, 0.04, 0.06, 0.08, 0.1, 0.2, 0.4, 0.6, 0.8, 1.0]",135,4,FALSE,0.833,21.6,1000,32.6,8,75,0.97,110,-0.6811,0.815,4,0.009,0.30815,0.7,0,1,0,0,60,0.2,0,1,100,1,0.86,0.20,FALSE,114,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,0,"[0.84, 0.86, 0.88, 0.9, 0.91, 0.92, 0.94, 0.95, 0.95, 0.94, 0.93]"
57,2021 Honda N-Box G,2021,Conv,0.38,2.19,0,0.53,0.61,2.52,0,1050,2000,1.1,239.27,9.89,43,,SI,6.1,0,2.13,,0,4.8,FALSE,0,0,0,0,0,0,1,110.8,-0.6811,0.815,4,0.0101,0.27855,0.8,0,1,0,0,60.3,0.2,0.8,55.8,100.8,1,0.86,0.7,FALSE,114.9,0.95,1.4,0.005,0.98,,,,,,,,,,,,,,17.1,,,,,30.3,0,
58,2021 BMW iX xDrive40,2021,BEV,0.25,2.82,0,-0.53,0.61,3,0,2600,0,1.1,0,0,0,,SI,6.1,0,0,,240,4.8,FALSE,0.833,21.6,1000,76.6,8.9,75,0.97,110.8,-0.6811,0.815,4,0.0101,0.395,0.8,0.04,0.96689295039,0,0,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,5.5,,,,,30.3,0,
59,2021 Cupra Born,2021,BEV,0.27,2.31,0,-0.53,0.61,2.766,0,1927,0,1.1,0,0,0,,SI,6.1,0,0,,150,4.8,FALSE,0.833,21.6,1000,82,8.9,75,0.97,110.8,-0.6811,0.815,4,0.011,0.3488,0.8,0.04,0.97902439024,0,0,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,6.8,,,,,30.3,0,
60,2023 Volvo C40 Recharge,2023,BEV,0.371319383535661,2.54,0,0.53,0.61,2.702,0,2237,0,1.1,0,0,0,,SI,6.1,0,0,,299.771,4.8,FALSE,0.833,21.6,1000,78,8.9,75,0.97,110.8,-0.6811,0.815,4,0.007699287908499693,0.356,0.8,0.02,0.98153846153,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,4.7,,,,,30.3,0,
61,2023 Polestar 2 Long range Dual motor,2023,BEV,0.3173785276661135,2.21,0,0.53,0.61,2.73558,0,2173,0,1.1,0,0,0,,SI,6.1,0,0,,310,4.8,FALSE,8.9,21.6,1000,78,8.9,75,0.97,110.8,-0.6811,0.815,4,0.00781852269194554,0.35155,0.8,0.02,0.98153846153,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30.3,0,
62,2022 Renault Megane E-Tech,2022,BEV,0.305,2.21,0,0.53,0.61,2.685,0,1706,0,1.1,0,0,0,,SI,6.1,0,0,,164.05397184,4.8,FALSE,0.833,21.6,1000,60,8.9,75,0.97,110.8,-0.6811,0.815,4,0.0101,0.37225,0.8,0,1,0.3,0.3,60.3,0.2,0.8,55.8,100.8,1,0.86,0.25,FALSE,114.9,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,7.5,,,,,30.3,0,
