Selection,Scenario name,vehPtType,dragCoef,frontalAreaM2,gliderKg,vehCgM,driveAxleWeightFrac,wheelBaseM,cargoKg,vehOverrideKg,maxFuelStorKw,fuelStorSecsToPeakPwr,fuelStorKwh,fuelStorKwhPerKg,maxFuelConvKw,fcEffMap,fcEffType,fcAbsEffImpr,fuelConvSecsToPeakPwr,fuelConvBaseKg,fuelConvKwPerKg,mcPwrOutPerc,largeBaselineEff,smallBaselineEff,modernMax,maxMotorKw,motorPeakEff,motorSecsToPeakPwr,stopStart,mcPeKgPerKw,mcPeBaseKg,maxEssKw,maxEssKwh,essKgPerKwh,essBaseKg,essRoundTripEff,essLifeCoefA,essLifeCoefB,wheelInertiaKgM2,numWheels,wheelRrCoef,wheelRadiusM,wheelCoefOfFric,minSoc,maxSoc,essDischgToFcMaxEffPerc,essChgToFcMaxEffPerc,maxAccelBufferMph,maxAccelBufferPercOfUseableSoc,percHighAccBuf,mphFcOn,kwDemandFcOn,altEff,chgEff,auxKw,forceAuxOnFC,transKg,transEff,compMassMultiplier,essToFuelOkError,maxRegen,valUddsMpgge,valHwyMpgge,valCombMpgge,valUddsKwhPerMile,valHwyKwhPerMile,valCombKwhPerMile,valCdRangeMi,valConst65MphKwhPerMile,valConst60MphKwhPerMile,valConst55MphKwhPerMile,valConst45MphKwhPerMile,valUnadjUddsKwhPerMile,valUnadjHwyKwhPerMile,val0To60Mph,valEssLifeMiles,valRangeMiles,valVehBaseCost,valMsrp,minFcTimeOn,idleFcKw
11,2016 TOYOTA Highlander Hybrid,2,0.39,3.33,1527.574,0.53,0.59,2.6,136,,2000,1,574,9.89,172,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",2,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,123,0.95,4,FALSE,0.833,21.6,37,2,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.5,FALSE,114,0.95,1.4,0.005,0.98,27,28,28,,,,,,,,,,,,,,,,30,3.44
12,2017 Prius Prime,3,0.27,2.582,1003.205,0.53,0.59,2.6,136,,2000,1,380,9.89,71,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",2,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,53,0.95,3,FALSE,0.833,21.6,60,8.8,8,75,0.97,110,-0.6811,0.815,4,0.006,0.336,0.7,0.25,0.9,1,0,60,0.2,0,85,68,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,54,,,0.25,25,,,,,,,10.6,,,,,30,1.42
13,2016 CHEVROLET Volt,3,0.3,2.565,950.564,0.53,0.59,2.6,136,,2000,1,297,9.89,75,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,111,0.95,3,FALSE,0.833,21.6,115,18.4,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,42,,,0.31,53,,,,,,,8.4,120000,,17000,33170,30,1.5
14,2016 FORD C-MAX (PHEV),3,0.335,2.964,1092.131,0.53,0.59,2.6,136,,2000,1,468,9.89,105,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",2,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,65,0.95,3,FALSE,0.833,21.6,68,7.6,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,68,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,38,,,0.37,20,,,,,,,7.9,,,,,30,2.1
15,2016 BMW i3 REx PHEV,3,0.3,2.8,607.577,0.53,0.59,2.6,136,,2000,1,63,9.89,25,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",2,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,127,0.95,3,FALSE,0.833,21.6,135,33,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.25,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,0.5
16,2016 HYUNDAI Sonata PHEV,3,0.3,2.732,1121.959,0.53,0.59,2.8,136,,2000,1,484,9.89,115,"[0.10, 0.12, 0.28, 0.35, 0.375, 0.39, 0.40, 0.40, 0.38, 0.37, 0.36, 0.35]",2,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,50,0.95,3,FALSE,0.833,21.6,68,9.8,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.15,0.9,1,0,60,0.2,0,85,120,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,,,40,,,0.34,27,,,,,,,,,,18050,34600,30,2.3
17,2017 CHEVROLET Bolt,4,0.29,2.845,648,0.44,0.7,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,150,0.95,3,FALSE,0.833,21.6,160,60,6,75,0.97,110,-0.6811,0.815,4,0.0073,0.336,0.7,0.05,0.98,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.263,0.306,0.283,,,,,,,,6.8,,238,17000,37495,30,0
18,2016 CHEVROLET Spark EV,4,0.33,2.357,647.505,0.44,0.7,2.38,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,105,0.95,3,FALSE,0.833,21.6,115,21,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.03,0.98,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.261,0.306,0.281,,,,,,,,7.2,,,10275.75,25120,30,0
19,2016 Leaf 24 kWh,4,0.315,2.755,819.961,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,80,0.95,3,FALSE,0.833,21.6,86,24,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.2675,0.331,0.296,,,,,,,,10,,84,,,30,0
20,2016 Nissan Leaf 30 kWh,4,0.315,2.755,817.894,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,80,0.95,3,FALSE,0.833,21.6,86,30,7,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.265,0.331,0.293,,,,,,,,10,,107,,,30,0
21,2016 MITSUBISHI i-MiEV,4,0.34,2.56,772.894,0.53,0.59,2.6,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,49,0.95,3,FALSE,0.833,21.6,52,16,8,75,0.97,110,-0.6811,0.815,4,0.007,0.336,0.7,0.05,0.95,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.265,0.337,0.298,,,,,,,,,,,,,30,0
22,2016 TESLA Model S60 2WD,4,0.3,2.832,666.945,-0.445,0.59,2.96,136,,0,1,0,9.89,0,"[0.10, 0.12, 0.16, 0.22, 0.28, 0.33, 0.35, 0.36, 0.35, 0.34, 0.32, 0.30]",1,0,6,61,2.13,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,285,0.95,3,FALSE,0.833,21.6,300,75,8,75,0.97,110,-0.6811,0.815,4,0.008,0.336,0.7,0.05,0.9,0,0,60,0.2,0,1,100,1,0.86,0.25,FALSE,114,0.98,1.4,0.005,0.98,,,,0.38,0.371,0.375,,,,,,,,5.5,,210,,,30,0
23,2016 Hyundai Tucson Fuel Cell,2,0.355,3.016,1447.123,0.53,0.53,2.69,136,,1000,1,132,2.27373494,134,"[0.10, 0.30, 0.36, 0.45, 0.50, 0.56, 0.58, 0.60, 0.58, 0.57, 0.55, 0.54]",4,0,7,0,1.492537313,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,134,0.95,4,FALSE,0.833,21.6,24,0.95,30.8,0,0.97,110,-0.6844,0.815,4,0.0068,0.316,0.7,0.4,0.8,0,0,60,0.2,0,1,100,1,0.86,0.28,FALSE,114,0.98,1.4,0.005,0.98,48,50,49,,,,,,,,,,,12,,,,,30,2.68
24,Toyota Mirai,2,0.3,2.786,1171.581,0.53,0.59,2.78,136,,1000,1,168.5,1.91,114,"[0.10, 0.30, 0.36, 0.45, 0.50, 0.56, 0.58, 0.60, 0.58, 0.57, 0.55, 0.54]",4,0,5,0,2.04,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,113,0.95,3,FALSE,0.833,21.6,33,1.6,44,0,0.97,110,-0.6844,0.815,4,0.0076,0.334,0.7,0.4,0.8,0,0,60,0.2,0,30,100,1,0.86,0.3,FALSE,114,0.98,1.4,0.005,0.98,67,67,67,,,,,,,,,,,9,,312,18817.28,57500,30,2.28
25,Regional Delivery Class 8 Truck,1,0.8,10,13625,0.53,0.59,2.7536,136,15076,5000,1,4000,9.875636446,212,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",3,0,6,61,0.62,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,0,0.95,4,FALSE,0.833,21.6,0,0,44,0,0.97,135,-0.6844,0.815,4,0.0092,0.506,0.7,0.4,0.8,1,0.1,60,0.5,0,1,100,1,0.86,10,FALSE,114,0.85,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,4.24
26,Line Haul Conv,1,0.6,8.5,13625,0.53,0.59,2.7536,136,21000,5000,1,8000,9.875636446,321,"[0.10, 0.14, 0.20, 0.26, 0.32, 0.39, 0.41, 0.42, 0.41, 0.38, 0.36, 0.34]",3,0,6,61,0.62,"[0.00, 0.02, 0.04, 0.06, 0.08,  0.10,  0.20,  0.40,  0.60,  0.80,  1.00]","[0.83, 0.85,    0.87,  0.89,  0.90,  0.91,  0.93,  0.94,  0.94,  0.93,  0.92]","[0.12,  0.16,   0.21, 0.29, 0.35, 0.42, 0.75, 0.92, 0.93, 0.93,  0.92]",0.95,0,0.95,4,FALSE,0.833,21.6,0,0,44,0,0.97,135,-0.6844,1,10,0.006,0.4893,0.7,0.4,0.8,1,0.1,60,0.5,0,1,100,1,0.86,10,FALSE,114,0.8,1.4,0.005,0.98,,,,,,,,,,,,,,,,,,,30,6.42
